Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Adam Engel","SDP",53,231,213,47,31,10,1,5,26,20,12,0,66,4,1,0,3,7,2,0.222337,0.0537885,0.283831,0.189509,0.278011,0.348499,0.276619,0.62651,0.126162,6.24635,0.296698,,0.528534,20.3455,-6.0793,77.246,0.528534,-0.46,-5.48469752073288,-1.9789594113826752,0.00948258,739.5399780273438,,,,"15082"
"Sergio Alcántara","CHC",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.22727,0.0838388,0.24854,0.337325,0.29462,0.337525,0.280678,0.632145,0.110255,4.15883,0.291619,,-0.00332729,0.626507,-0.158461,79.5903,-0.00332729,0,-0.16611073445528746,0.02521323412656784,0.00941374,999,,,,"16417"
"Peyton Burdick","MIA",3,14,12,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.209744,0.0870511,0.317471,0.274202,0.291462,0.3589,0.288454,0.650362,0.149156,4.19074,0.288846,,-0.00254759,1.33506,-0.231675,86.8737,-0.00254759,-0.09,-0.21150568104349077,-0.1671604961156845,0.00855778,999,,,,"25459"
"David Fry","CLE",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.218552,0.0658169,0.23574,0.279193,0.278241,0.345324,0.275503,0.623565,0.126772,2.70933,0.269191,,-0.00491614,0.601012,-0.187522,77.2953,-0.00491614,0,-0.18110714247450233,0.03086419589817524,0.0072433,999,,,,"sa3006787"
"Dixon Machado","HOU",2,7,6,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.216299,0.0727322,0.201828,0.360368,0.280495,0.290126,0.257052,0.570621,0.0738272,3.30438,0.267028,,-0.00399773,0.51086,-0.294847,65.0149,-0.00399773,0.03,-0.2813984276726842,0.12259258888661861,0.0068455,999,,,,"11472"
"Andrew Velazquez","LAA",3,14,13,3,2,1,0,0,2,1,1,0,5,0,0,0,0,1,0,0.203489,0.0599148,0.33128,0.180858,0.256166,0.322951,0.25568,0.579117,0.119463,6.53207,0.289833,,0.0541403,0.999217,-0.60075,61.6314,0.0541403,0.03,-0.5499957278370857,0.16888887993991375,0.00669015,739.8699951171875,,,,"14196"
"Davis Wendzel","TEX",3,14,13,2,2,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0.198116,0.069235,0.278009,0.249039,0.261165,0.325714,0.260841,0.586879,0.127598,3.00792,0.252255,,-0.00699794,1.03546,-0.532553,67.0579,-0.00699794,0,-0.5153321642428637,0.138888880610466,0.00624711,999,,,,"sa3011890"
"Chris Owings",,21,91,83,17,11,3,0,2,9,8,7,0,27,1,1,0,1,2,1,0.206967,0.0716346,0.299936,0.238833,0.268815,0.327607,0.264624,0.596423,0.12064,5.18409,0.280947,,0.0846935,7.14776,-3.262,68.9169,0.0846935,-0.09,-3.1512744203209877,0.23407405614852905,0.00615344,999,,,,"10030"
"Vinny Capra","TOR",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.227498,0.0720255,0.220234,0.32704,0.289788,0.340921,0.279667,0.630709,0.113423,4.07952,0.280279,,-0.000412234,0.628393,-0.165925,81.04,-0.000412234,0.06,-0.14862301293760538,-0.01654065027832985,0.00584552,999,,,,"25040"
"Chad Wallach","LAA",2,6,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.188035,0.0760277,0.309087,0.245975,0.259207,0.295073,0.249559,0.55428,0.107038,2.00227,0.257486,,-0.00484187,0.399088,-0.286612,57.312,-0.00484187,0,-0.29290528083220124,0.15432098507881165,0.00546557,999,,,,"17161"
"Steele Walker","DET",5,20,18,4,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0,0.212427,0.0649621,0.205453,0.31619,0.270492,0.323327,0.263285,0.593819,0.1109,4.35275,0.254128,,0.00307774,1.56115,-0.743689,70.0772,0.00307774,0.08,-0.6756441663019359,0.07999999821186066,0.0047407,999,,,,"22093"
"Jermaine Palacios","DET",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.216649,0.0569849,0.267554,0.212984,0.264955,0.323027,0.259944,0.587982,0.106378,4.52957,0.283993,,-0.000168288,0.502562,-0.265719,67.7199,-0.000168288,0,-0.2442317996028578,0.07403173297643661,0.00455667,999,,,,"18371"
"Clay Dungan","KCR",3,14,12,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.216471,0.060517,0.213194,0.28386,0.272024,0.31512,0.260881,0.587144,0.0986496,5.19466,0.267421,,0.0103488,1.02257,-0.525266,63.8477,0.0103488,0,-0.5403411174193025,0.14914950728416443,0.00410942,999,,,,"sa1169803"
"Brennen Davis","CHC",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.21887,0.0797933,0.298202,0.267581,0.293352,0.359205,0.289361,0.652557,0.140336,3.74261,0.294953,,-0.00316011,0.67384,-0.111128,85.5248,-0.00316011,0,-0.11861103004775941,-0.07563970237970352,0.00381185,999,,,,"sa3007876"
