"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
661911,"2022-04-29",1,"N","Atlanta Braves","Texas Rangers",6,3,5,1
662741,"2022-04-29",1,"N","New York Yankees","Kansas City Royals",12,2,3,2
661209,"2022-04-29",1,"N","Chicago Cubs","Milwaukee Brewers",1,11,0,7
662037,"2022-04-29",1,"N","Arizona Diamondbacks","St. Louis Cardinals",6,2,2,1
663009,"2022-04-29",1,"N","Cincinnati Reds","Colorado Rockies",4,10,1,4
662405,"2022-04-29",1,"N","Cleveland Guardians","Oakland Athletics",9,8,5,6
662699,"2022-04-29",1,"N","Detroit Tigers","Los Angeles Dodgers",1,5,1,5
662081,"2022-04-29",1,"N","Washington Nationals","San Francisco Giants",14,4,5,3
662036,"2022-04-30",1,"N","Arizona Diamondbacks","St. Louis Cardinals",2,0,0,0
661825,"2022-04-30",1,"N","Houston Astros","Toronto Blue Jays",1,2,1,2
662084,"2022-04-30",1,"N","Washington Nationals","San Francisco Giants",3,9,2,4
661534,"2022-04-30",1,"N","Los Angeles Angels","Chicago White Sox",0,4,0,4
662393,"2022-04-30",1,"N","Cleveland Guardians","Oakland Athletics",3,1,1,1
661906,"2022-04-30",1,"N","Minnesota Twins","Tampa Bay Rays",9,1,1,1
661389,"2022-04-30",1,"N","Seattle Mariners","Miami Marlins",1,3,1,3
662288,"2022-04-30",1,"N","San Diego Padres","Pittsburgh Pirates",6,7,3,3
663364,"2022-04-30",1,"N","Boston Red Sox","Baltimore Orioles",1,2,1,0
661901,"2022-04-30",1,"N","Atlanta Braves","Texas Rangers",1,3,1,3
662591,"2022-04-30",1,"N","Philadelphia Phillies","New York Mets",4,1,0,1
662797,"2022-04-30",1,"N","New York Yankees","Kansas City Royals",3,0,3,0
661208,"2022-04-30",1,"N","Chicago Cubs","Milwaukee Brewers",1,9,1,6
